,beta,volume_10_day,c,o,adx,signal,trending,shareOutstanding,bearish,bullish
BA,1.61462,14.71303,202.6753,203.265,20.189926180227875,buy,False,562.91,0.2223,0.7777
XRX,1.87889,2.05363,20.71,20.84,19.414516204038534,neutral,False,212.59,0.5,0.5
CCL,2.29597,33.69316,19.035,19.8,19.23979115980538,buy,False,684,0.0,1.0
DAL,1.42877,12.44117,39.0973,39.63,19.124965118926973,buy,False,637.73,0.3334,0.6666
AXP,1.26424,4.24376,122.065,124.24,17.427025830820426,buy,False,810,0.2,0.8
SIRI,1.11301,34.8416,6.1101,5.97,16.406512578671947,buy,False,4412,0.5,0.5
PCG,1.37261,11.82784,11.7,11.72,15.993210507843461,buy,False,529.24,1.0,0.0
FB,1.26185,21.47233,276.41,278.14,15.169356088122681,neutral,False,2852,0.3334,0.6666
LULU,1.35407,1.43478,341.43,347.14,14.395801571908278,buy,False,136.58,0.0,1.0
RCL,2.85363,3.22617,68.98,70.73,14.126750955939855,buy,False,208.8,1.0,0.0
HD,1.02547,4.18555,284.095,283.85,12.783917444941617,buy,False,1077,0.0,1.0
QSR,1.30174,0.66141,59.16,60,12.05357579824604,buy,False,298.28,1.0,0.0
GD,1.036,1.55717,155.63,151.82,10.970339589621949,buy,False,289.61,0.0,1.0
MA,1.17427,4.6079,319.2395,327.51,10.039281798840486,neutral,False,1007,0.0,1.0
